label,_page,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,borough
Interborough Rapid Transit Co.: Subway Division,2,932446803.0,586098633.0,630385780.0,644075474.0,676650431.0,714933187.0,736820672.0,784280073.0,814625506.0,807603467.0,
Elevated Division,2,348669124.0,369034477.0,374203051.0,348517216.0,348524700.0,359410056.0,352723553.0,346204574.0,359010660.0,351258534.0,
"Total, I. R. T. Co.",2,1281015927.0,955133110.0,1013678831.0,903402800.0,1025175131.0,1074343243.0,1089544225.0,1130484647.0,1173646256.0,1348952001.0,
New York Rapid Transit Corp.,2,690829332.0,376782635.0,404970640.0,444747229.0,480900870.0,537194829.0,891256029.0,621251881.0,656543693.0,669852744.0,
"Total, Rapid Transit",2,1971845159.0,1331015745.0,1418649471.0,1438239919.0,1506076001.0,1611538072.0,1480800254.0,1751736528.0,1830189949.0,1018804745.0,
Manhattan,2,392785568.0,340772761.0,384128024.0,388357787.0,383209500.0,376667033.0,354306534.0,335665087.0,394207070.0,306500100.0,
Bronx,2,155342370.0,94141991.0,107675507.0,114676829.0,119140813.0,124874810.0,128178112.0,133353069.0,144610327.0,153143745.0,
Brooklyn,2,490422154.0,432936227.0,418106603.0,472538028.0,490128692.0,499768634.0,500639766.0,495078144.0,496806822.0,496637959.0,
Queens (excl. B.-M. T.),2,52886161.0,49562574.0,51944034.0,58826451.0,59846701.0,58976131.0,58140148.0,56968144.0,50949549.0,51691870.0,
Richmond,2,9136035.0,15007235.0,15797894.0,18667126.0,19408170.0,19740392.0,19290455.0,16838627.0,17133968.0,10335834.0,
"Total, Street Surface",2,1000571857.0,941420788.0,977652062.0,1052068801.0,1071736876.0,1081827000.0,1060654015.0,1037903071.0,1033207736.0,1020399607.0,
"Fifth Avenue Coach Co., Surface Transp. Corp. of N.Y.",2,61672950.0,42552700.0,51001385.0,52840135.0,85074110.0,57136402.0,67700517.0,60428753.0,70405100.0,67283025.0,
City Island Motor Bus Co.,2,36084658.0,533348.0,721395.0,462058.0,,,,,,7830671.0,
"Eastern Parkway, Brownsville & East New York Transit",2,10714317.0,,,,,,,7146405.0,9041785.0,9805171.0,
"Nassau Bus Lines, Inc.",2,146781.0,,,900000.0,891849.0,1012001.0,,1369632.0,1470900.0,1345879.0,
