label,line,borough,_page,Month,Year,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
Rapid Transit Lines,,,1,,,,,,,,,,,,1852944457.0
Hudson Tubes,,,1,,,,,,,,,,,,65203882.0
Street Surface Railway Lines,,,1,,,,,,,,,,,,540361037.0
Bus Lines,,,1,,,,,,,,,,,,657707203.0
Grand Total,,,1,,,,,,,,,,,,3116216059.0
Times Square (all entrances),,,2,,,,,,,,,,,43235596.0,43039594.0
Grand Central (all entrances),,,2,,,,,,,,,,,41926197.0,40318242.0
Pennsylvania Station,,,2,,,,,,,,,,,22730680.0,22804203.0
14th Street (Fourth Avenue),,,2,,,,,,,,,,,24421333.0,23802009.0
Fulton Street (Broadway),,,2,,,,,,,,,,,13461037.0,13104173.0
59th Street (Broadway),,,2,,,,,,,,,,,12836221.0,12614299.0
86th Street (Lexington Avenue),,,2,,,,,,,,,,,12006682.0,11562437.0
Utica Avenue (Eastern Parkway Line),,,2,,,,,,,,,,,10815362.0,10856374.0
72nd Street (Broadway),,,2,,,,,,,,,,,10265978.0,10360582.0
Atlantic Avenue (Brooklyn),,,2,,,,,,,,,,,11137352.0,10345654.0
Total,,,2,,,,,,,,,,,212342438.0,208510027.0
"Times Square (Broadway Line, Manhattan)",,,2,,,,,,,,,,,31583887.0,31082181.0
"42nd Street (Broadway Line, Manhattan)",,,2,,,,,,,,,,,25596390.0,25105020.0
"34th Street (Broadway Line, Manhattan)",,,2,,,,,,,,,,,23231742.0,23063596.0
"109th Street (Broadway Line, Manhattan)",,,2,,,,,,,,,,,11896900.0,11749824.0
Stillwell Avenue (Coney Island),,,2,,,,,,,,,,,9808290.0,9958502.0
"49th Street (Broadway Line, Manhattan)",,,2,,,,,,,,,,,9401754.0,9210404.0
"Cortlandt Street (Broadway Line, Manhattan)",,,2,,,,,,,,,,,6137378.0,9034096.0
"23rd Street (Broadway Line, Manhattan)",,,2,,,,,,,,,,,9224595.0,8977022.0
DeKalb Avenue (Fourth Avenue Line),,,2,,,,,,,,,,,8231997.0,8434147.0
"Kings Highway (Brighton Beach Line, Brooklyn)",,,2,,,,,,,,,,,6911727.0,6632917.0
Total,,,2,,,,,,,,,,,145114660.0,143317715.0
Per Cent of Total Traffic on N.Y.R.T. Corp.,,,2,,,,,,,,,,,26.37,26.39
34th Street (Eighth Avenue Line),,,2,,,,,,,,,,,24870185.0,26492152.0
42nd Street (Eighth Avenue Line),,,2,,,,,,,,,,,23663924.0,25263060.0
59th Street (Queens Boulevard Line),,,2,,,,,,,,,,,8598153.0,10901088.0
Chambers Street (Eighth Avenue Line),,,2,,,,,,,,,,,10247620.0,10922808.0
50th Street (Eighth Avenue Line),,,2,,,,,,,,,,,9847660.0,10382781.0
168th Street (Eighth Avenue Line),,,2,,,,,,,,,,,9321146.0,10105688.0
Broadway-Nassau St. (Eighth Avenue Line),,,2,,,,,,,,,,,9464839.0,9781045.0
59th Street (Eighth Avenue Line),,,2,,,,,,,,,,,9208904.0,9448198.0
125th Street (Eighth Avenue Line),,,2,,,,,,,,,,,8355271.0,8777133.0
23rd Street (Eighth Avenue Line),,,2,,,,,,,,,,,7899310.0,8721977.0
Total,,,2,,,,,,,,,,,121276702.0,130855930.0
Per Cent of Total Traffic on City of New York-Independent System,,,2,,,,,,,,,,,34.67,34.11
BROOKLYN STATIONS (see Contract 2),,Brooklyn,3,,,44989005.0,43806827.0,40188889.0,36764018.0,33569515.0,32878943.0,33780110.0,30878880.0,37819085.0,35927147.0
Atlantic Avenue,,Brooklyn,3,,,19795145.0,19083776.0,16714077.0,14864548.0,13629169.0,12874019.0,13017650.0,13390026.0,11137353.0,10948034.0
Nevins Street,,Brooklyn,3,,,8452036.0,8143996.0,5979244.0,5503438.0,5523606.0,5109447.0,5578171.0,6519420.0,8552077.0,8405715.0
Hoyt Street,,Brooklyn,3,,,8590198.0,9086225.0,8637882.0,8817075.0,7803854.0,7669440.0,4879714.0,4352607.0,3926840.0,3708503.0
Borough Hall,,Brooklyn,3,,,149655626.0,140883830.0,134181686.0,184025195.0,153454114.0,180897574.0,183443377.0,181160106.0,116850061.0,112614456.0
South Ferry,,Bronx,3,,,915648.0,970028.0,930809.0,946843.0,3532643.0,5443074.0,5699720.0,900685.0,8589009.0,13104173.0
Bowling Green,,Manhattan,3,,,7975678.0,7839163.0,6791551.0,9300718.0,9429080.0,12855838.0,33261877.0,13087976.0,13461037.0,290894.0
Wall Street & Broadway,,Manhattan,3,,,13532881.0,11266006.0,8777675.0,13506459.0,13541505.0,912063.0,307632.0,,9733541.0,
Fulton Street & Broadway,,Manhattan,3,,,17154055.0,16450867.0,14922649.0,340635.0,328446.0,,11900900.0,10808850.0,,9493661.0
City Hall,,Manhattan,3,,,606101.0,452509.0,,,11949518.0,,3259828.0,2605123.0,3465887.0,3581879.0
Brooklyn Bridge,,Brooklyn,3,,,13084884.0,15830903.0,13876275.0,32679422.0,,11977403.0,4016518.0,3123787.0,2795583.0,2722080.0
Worth Street,,Brooklyn,3,,,1764827.0,2188563.0,2303736.0,2053933.0,4107884.0,4060897.0,,,,2801629.0
Canal Street,,Bronx,3,,,4805783.0,4638538.0,3804892.0,2686673.0,3651051.0,3344966.0,3242723.0,3058849.0,6311001.0,6186005.0
Spring Street,,Brooklyn,3,,,3888930.0,3929640.0,,3544498.0,4152226.0,,4261869.0,4428932.0,,
Bleecker Street,,Brooklyn,3,,,4175897.0,3981365.0,3641105.0,6072633.0,6076085.0,8895692.0,,25880395.0,24421833.0,22802069.0
Astor Place,,Brooklyn,3,,,6799985.0,6643406.0,,37025854.0,36925037.0,26500319.0,38175165.0,2426446.0,2730223.0,2263499.0
14th Street,,Bronx,3,,,38243281.0,37701337.0,38067676.0,,36092627.0,34348814.0,3806976.0,3163790.0,8014305.0,7916148.0
18th Street,,Bronx,3,,,2776809.0,2579105.0,2449858.0,8549458.0,5283197.0,4240202.0,7155088.0,7014130.0,6767571.0,6537408.0
23rd Street,,Brooklyn,3,,,8975775.0,9102011.0,8132360.0,6925675.0,7022183.0,7093821.0,7993864.0,8117787.0,,
28th Street,,Bronx,3,,,5453090.0,5130198.0,7491976.0,7844424.0,7382983.0,7781567.0,9145813.0,10763499.0,10764438.0,10296893.0
33rd Street,,Bronx,3,,,9155999.0,9049289.0,8395887.0,10378400.0,10554058.0,10058261.0,,17667443.0,17053907.0,17236298.0
Grand Central,,Manhattan,3,,,14592250.0,13690783.0,,77440418.0,77624096.0,,17960841.0,18412655.0,12635221.0,12614299.0
"MANHATTAN, WEST, TIMES SQ. TO 96TH ST.",,Manhattan,3,,,94865469.0,91190702.0,86083056.0,,15731072.0,17653106.0,18082954.0,18991021.0,,
Times Square,,Manhattan,3,,,22188924.0,21159179.0,19174237.0,12597670.0,12419747.0,12710937.0,8329765.0,8848924.0,6855197.0,8785627.0
50th Street,,Manhattan,3,,,15331473.0,14632522.0,13703737.0,12225562.0,,,9890863.0,9832141.0,2730803.0,3735627.0
Columbus Circle (59th Street),,Manhattan,3,,,9868401.0,9403299.0,8947422.0,7560217.0,6049179.0,4001783.0,11081723.0,10725994.0,10266978.0,10360382.0
66th Street,,Manhattan,3,,,5069281.0,4822009.0,4517711.0,4104049.0,11294819.0,11295367.0,6007983.0,6555076.0,5330896.0,8490831.0
72nd Street,,Manhattan,3,,,13065587.0,13771236.0,12318368.0,11275740.0,6025821.0,4070278.0,8720560.0,6451707.0,5347686.0,4089383.0
79th Street,,Manhattan,3,,,6282799.0,6297781.0,6162619.0,6855158.0,5532625.0,6667828.0,3609180.0,3503725.0,3551411.0,4390882.0
86th Street,,Manhattan,3,,,7820919.0,7230448.0,7038450.0,3473781.0,2608100.0,3612040.0,9747865.0,9350220.0,9035764.0,
91st Street,,Manhattan,3,,,3760950.0,3700850.0,3629041.0,9710783.0,8399176.0,,,,,
96th Street,,Manhattan,3,,,7153157.0,11040876.0,10548854.0,,48449176.0,45889305.0,,3553361.0,5207855.0,5827835.0
"MANHATTAN, UPPER B'WAY TO 225TH STREET",,Manhattan,3,,,65018376.0,67888643.0,64407344.0,63245554.0,5335815.0,5499495.0,5020548.0,5014638.0,4800628.0,3956179.0
103rd Street,,Manhattan,3,,,6840873.0,8933590.0,744709.0,5005109.0,4835714.0,5451043.0,4286071.0,4136706.0,3983395.0,3962203.0
Cath. P'kway (110th Street),,Manhattan,3,,,8319294.0,8177342.0,4947229.0,4246839.0,4179297.0,4296778.0,4218644.0,4136706.0,3983395.0,3962203.0
Col. University (116th Street),,Manhattan,3,,,5095365.0,4940265.0,4325251.0,4577920.0,4826567.0,5203562.0,5330675.0,5154845.0,5022041.0,4219329.0
125th Street,,Manhattan,3,,,6810875.0,7109300.0,5762162.0,,,4406055.0,,3645854.0,3526554.0,3533278.0
City College (137th Street),,Manhattan,3,,,5851507.0,8898266.0,5653591.0,4502933.0,4462984.0,,4478483.0,,3889994.0,4152978.0
145th Street (IRT),,Manhattan,3,,,6152052.0,6143996.0,5485043.0,4312547.0,3906018.0,3046236.0,3109881.0,2954472.0,2842882.0,4342809.0
157th Street,,Manhattan,3,,,5638170.0,5676328.0,,4595808.0,3138994.0,4093433.0,4955434.0,4732133.0,4172852.0,3597898.0
168th Street,,Manhattan,3,,,5971850.0,6056434.0,5854453.0,6179861.0,6141105.0,,3365026.0,3731053.0,3627619.0,3606066.0
181st Street,,Manhattan,3,,,8254874.0,7480150.0,8119056.0,2803217.0,3797197.0,3782916.0,3256567.0,3146833.0,,1185178.0
191st Street,,Manhattan,3,,,3747898.0,3829665.0,3228384.0,3097975.0,3664920.0,2255925.0,,,1223467.0,
Dyckman Street,,Manhattan,3,,,4816249.0,4862970.0,4650820.0,1889160.0,1452273.0,1395430.0,,842774.0,237631.0,374702.0
207th Street,,Manhattan,3,,,3018050.0,3141894.0,3792201.0,462218.0,374418.0,372772.0,364863.0,,,987636.0
215th Street,,Manhattan,3,,,,813894.0,748543.0,1056840.0,999443.0,1012704.0,1048170.0,1069300.0,1027183.0,
225th Street,,Manhattan,3,,,1371470.0,1309644.0,1146841.0,,,,,,,
"BRONX, B'WAY, 221ST ST. TO 242ND STREET",,Bronx,3,,,6669197.0,6668195.0,,,2103785.0,3053920.0,6373869.0,6183895.0,5869826.0,5935881.0
231st Street,,Bronx,3,,,,1695640.0,3064659.0,1945286.0,1983868.0,830073.0,3339534.0,3170840.0,3127574.0,
238th Street,,Bronx,3,,,933084.0,937155.0,870619.0,831300.0,825807.0,,,3207854.0,3028322.0,3068143.0
242nd Street (Van Cort. Pk.),,Bronx,3,,,3600649.0,,,,,34818768.0,,33541087.0,32375074.0,
"MANHATTAN, LENOX AVENUE",,Manhattan,3,,,,83196049.0,80190886.0,28081886.0,28091180.0,,,,,
110th Street,,Manhattan,3,,,6792918.0,6440237.0,5807028.0,4886242.0,4900404.0,4089186.0,6066075.0,5922765.0,5587409.0,5358599.0
116th Street,,Manhattan,3,,,7751770.0,7744528.0,7134738.0,5901264.0,5855333.0,6058028.0,5917977.0,5636869.0,5867534.0,5812058.0
125th Street,,Manhattan,3,,,8037608.0,8034880.0,7378978.0,4836170.0,6129265.0,,5359286.0,5350050.0,,
135th Street,,Manhattan,3,,,8602687.0,8345855.0,7693018.0,6764666.0,,4470344.0,1461568.0,1802894.0,1194936.0,1258241.0
145th Street,,Manhattan,3,,,8376979.0,8349980.0,7929123.0,7683019.0,7488563.0,,45018048.0,43011134.0,46435167.0,
"BRONX, UPPER FARMS BR.",,Bronx,3,,,61494657.0,61531829.0,61913819.0,47888994.0,47089478.0,47150703.0,,,,
149th St. Grand Conc'se (Lower Level),,Bronx,3,,,1080502.0,1081808.0,1013418.0,,6882626.0,6501526.0,6758054.0,6848629.0,6721123.0,6619000.0
149th Street & Third Avenue,,Bronx,3,,,7098165.0,7114856.0,6893948.0,6887941.0,8805661.0,8320505.0,7853635.0,8939732.0,7338245.0,7148871.0
Jackson Avenue,,Bronx,3,,,4499853.0,4517622.0,4217255.0,8614240.0,,,2901271.0,7860977.0,7379900.0,
Prospect Avenue,,Bronx,3,,,3105668.0,8191631.0,7817728.0,4382634.0,4182854.0,4244013.0,3002182.0,3263976.0,3171891.0,3123889.0
Intervale Avenue,,Bronx,3,,,,,,,3857771.0,6358182.0,9322263.0,8679870.0,,
Simpson Street,,Bronx,3,,,7691924.0,7700462.0,7879838.0,6876889.0,,,,,8050122.0,8858989.0
Freeman Street,,Bronx,3,,,7289281.0,7171641.0,6885556.0,8069126.0,6217450.0,6251925.0,9995146.0,9324075.0,9183563.0,9064122.0
174th Street,,Bronx,3,,,5699993.0,5671404.0,5493698.0,,3749277.0,3753502.0,3831044.0,,,3466315.0
177th Street,,Bronx,3,,,4643981.0,4464785.0,4199812.0,3821466.0,,,,2701768.0,2522279.0,2442993.0
180th Street (Bronx Park),,Bronx,3,,,3841807.0,3910894.0,3810092.0,3655197.0,2604374.0,,,,,
Total Stations (Contracts 1 and 2),,Bronx,3,,,453129100.0,442110642.0,413903577.0,369727815.0,361255082.0,357517778.0,361310601.0,354494084.0,338483027.0,332725252.0
Miscellaneous ticket sales,,Brooklyn,3,,,287217.0,265140.0,276162.0,268992.0,,193056.0,941711.0,1703601.0,998350.0,733458.0
