label,segment,_page,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,borough
207 St.,8 Ave.,8,3735056.0,3949594.0,4290753.0,4185166.0,3903350.0,3982607.0,4569914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Dyckman St./200 St.,8 Ave.,8,3500748.0,3610061.0,3742049.0,3740972.0,3640350.0,3592162.0,3718963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
190 St.,8 Ave.,8,1549002.0,1706454.0,1872581.0,1965387.0,1914299.0,1863990.0,1931006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
181 St.,8 Ave.,8,4904537.0,5319228.0,5691443.0,5829379.0,5717819.0,5679322.0,5914906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
175 St.,8 Ave.,8,7807128.0,8180252.0,8845687.0,9311701.0,9187416.0,,8933699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
168 St.,8 Ave.,8,3689361.0,3432119.0,3420061.0,3465480.0,3346072.0,3563833.0,3880994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
163 St.,8 Ave.,8,3239868.0,3182251.0,3146698.0,3253449.0,3453528.0,3584913.0,3718669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
155 St.,8 Ave.,8,7385129.0,8650994.0,9105215.0,9969791.0,10310134.0,10797744.0,11747041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
145 St.,8 Ave.,8,3973666.0,4724003.0,4885011.0,5416320.0,5570747.0,5637299.0,5907994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
135 St.,8 Ave.,8,9584909.0,10813039.0,11443134.0,12586892.0,12821947.0,13756440.0,14889922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
125 St.,8 Ave.,8,3847922.0,4434505.0,4470832.0,4889276.0,4957948.0,5205741.0,5737224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
116 St.,8 Ave.,8,2989018.0,3310845.0,3211744.0,3295135.0,3305890.0,3503160.0,3846725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Cathedral Pkwy.,8 Ave.,8,2051962.0,2333138.0,2319362.0,2218017.0,2172097.0,2272481.0,2495195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
103 St.,8 Ave.,8,3445760.0,3884717.0,3873627.0,3885465.0,3830548.0,4013667.0,4331750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
96 St.,8 Ave.,8,3914224.0,4469993.0,4583922.0,4572894.0,4536719.0,4714513.0,3976789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
86 St.,8 Ave.,8,3036548.0,3503806.0,3553536.0,3578640.0,3615186.0,3750570.0,3721383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
81 St.,8 Ave.,8,3050766.0,3635152.0,3574977.0,3535671.0,3381050.0,3494360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
72 St.,8 Ave.,8,,,,,,,94272205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Segment Total,8 Ave.,8,71705604.0,79140151.0,82030629.0,85703635.0,85862853.0,88455572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205 St.,Concourse,8,6044753.0,6433079.0,6999946.0,7448823.0,7391317.0,7436833.0,7931927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Bedford Park Blvd.,Concourse,8,2803766.0,2897325.0,2996260.0,3069962.0,4583771.0,4572842.0,4835176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Kingsbridge Rd.,Concourse,8,4360747.0,4443083.0,4536677.0,4693436.0,6845917.0,6990445.0,7781896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Fordham Rd.,Concourse,8,6184522.0,6435156.0,6809139.0,7009772.0,3902769.0,3993760.0,4157060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
182-183 Sts.,Concourse,8,3752962.0,3883382.0,4040507.0,4038643.0,6572275.0,6665694.0,7281313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Tremont Ave.,Concourse,8,5413442.0,6050382.0,6266827.0,6547889.0,3749825.0,3766873.0,3995169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
174-175 Sts.,Concourse,8,3541890.0,3770954.0,3886966.0,3816064.0,5691233.0,5750066.0,6169520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
170 St.,Concourse,8,5391577.0,5684239.0,5909502.0,5878408.0,6142885.0,6318780.0,6724740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
167 St.,Concourse,8,5846135.0,5931821.0,6028295.0,6107025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
155 St.,Concourse,8,1222634.0,1547183.0,1668764.0,1538672.0,1555998.0,1737505.0,1904503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Segment Total,Concourse,8,44562437.0,47276674.0,49392682.0,50148694.0,49399931.0,50127996.0,53883363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
242 St.,Broadway/7 Ave.,8,2942028.0,2840390.0,2972617.0,2913954.0,2744585.0,2674739.0,2937643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
238 St.,Broadway/7 Ave.,8,812093.0,787402.0,808328.0,807542.0,793755.0,782573.0,802233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
231 St.,Broadway/7 Ave.,8,2011047.0,1917833.0,2021576.0,2224663.0,2294957.0,2197361.0,1984523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
225 St.,Broadway/7 Ave.,8,984579.0,929430.0,962903.0,926003.0,331991.0,367319.0,362040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
215 St.,Broadway/7 Ave.,8,622189.0,645728.0,357637.0,339670.0,995072.0,1028312.0,1083102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
207 St.,Broadway/7 Ave.,8,1169330.0,1049993.0,1018253.0,989461.0,1499797.0,1548908.0,1639173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Dyckman St.,Broadway/7 Ave.,8,1952099.0,1726367.0,1667309.0,1785875.0,2452385.0,2484298.0,2516036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
191 St.,Broadway/7 Ave.,8,2617925.0,2490067.0,2501296.0,2542523.0,3097893.0,3973622.0,4159361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
181 St.,Broadway/7 Ave.,8,4389076.0,3884320.0,3763079.0,3836691.0,2286382.0,2911391.0,3074421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
157 St.,Broadway/7 Ave.,8,3460856.0,3145604.0,3045231.0,3045231.0,3226068.0,3264852.0,3462130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
145 St.,Broadway/7 Ave.,8,4947139.0,4657995.0,4528998.0,4664225.0,4648923.0,3507512.0,3737189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
