Year,Notes,_page,annual_subway,annual_bus,annual_total,avg_weekday_subway,avg_weekday_bus,avg_weekday_total,avg_weekend_total,avg_daily_total
1940,,1,1842675000.0,,,6149000.0,,,,
1941,,1,1842506000.0,,,6148000.0,,,,
1942,,1,1908489000.0,,,6368000.0,,,,
1943,,1,1951202000.0,,,6511000.0,,,,
1944,,1,1911809000.0,,,6379000.0,,,,
1945,,1,1952929000.0,,,6516000.0,,,,
1946,,1,2067227000.0,,,6898000.0,,,,
1947,,1,2025914000.0,,,6760000.0,,,,
1948,"Fare increase on July 1, 1948 ($0.05 to $0.10)",1,1912735000.0,,,6382000.0,,,,
1949,,1,1721554000.0,,,5744000.0,,,,
1950,,1,1660098000.0,,,5539000.0,,,,
1951,,1,1601617000.0,,,5344000.0,,,,
1952,,1,1555254000.0,,,5190000.0,,,,
1953,"Fare increase on July 25, 1953 ($0.10 to $0.15)",1,1495914000.0,,,4992000.0,,,,
1954,,1,1393799000.0,,,4682000.0,,,,
1955,,1,1362143000.0,,,4605000.0,,,,
1956,,1,1363674000.0,,,4640000.0,,,,
1957,,1,1339380000.0,,,4548000.0,,,,
1958,,1,1322975000.0,,,4478000.0,,,,
1959,,1,1328958000.0,,,4501000.0,,,,
1960,,1,1348921000.0,,,4592000.0,,,,
1961,,1,1359915000.0,,,4643000.0,,,,
1962,,1,1383517000.0,,,4728000.0,,,,
1963,,1,1356817000.0,1039900000.0,2396717000.0,4617000.0,3360000.0,7977000.0,,
1964,,1,1383225000.0,1054100000.0,2437325000.0,4692000.0,3410000.0,8102000.0,,
1965,,1,1353193000.0,1068000000.0,2421193000.0,4667000.0,3450000.0,8117000.0,,
1966,"Transit strike (1/1/66 to 1/13/66); fare increase on July 5, 1966 ($0.15 to $0.20)",1,1260583000.0,982500000.0,2243083000.0,4352000.0,3180000.0,7532000.0,,
1967,,1,1302572000.0,976400000.0,2278972000.0,4440000.0,3160000.0,7600000.0,,
1968,,1,1311668000.0,1003300000.0,2314968000.0,4454000.0,3240000.0,7694000.0,,
1969,,1,1343270000.0,1005400000.0,2348670000.0,4554000.0,3250000.0,7804000.0,,
1970,"Fare increase on January 4, 1970 ($0.20 to $0.30)",1,1257569124.0,939122764.0,2196691888.0,4269273.0,3037070.0,7306343.0,,
1971,,1,1196875980.0,931799859.0,2128675839.0,4067926.0,3016306.0,7084232.0,,
1972,"Fare increase on January 5, 1972 ($0.30 to $0.35)",1,1145128739.0,877441806.0,2022570545.0,3919332.0,2843113.0,6762445.0,,
1973,,1,1101597734.0,857144218.0,1958741952.0,3767921.0,2776021.0,6543942.0,,
1974,,1,1099786500.0,889753945.0,1989540445.0,3704526.0,2879038.0,6583564.0,,
1975,"Fare increase on September 1, 1975 ($0.35 to $0.50)",1,1053932743.0,844220177.0,1898152920.0,3555380.0,2735756.0,6291136.0,,
1976,,1,1010496909.0,724202144.0,1734699053.0,3395940.0,2346547.0,5742487.0,,
1977,,2,997773441.0,697764755.0,1695538196.0,,,3360223.0,2270752.0,5630975.0
1978,,2,1041628298.0,687511817.0,1729140115.0,,,3488005.0,2238144.0,5726149.0
1979,,2,1076540944.0,664461204.0,1741002148.0,,,3589446.0,2159972.0,5749418.0
1980,"Transit strike (4/1/80 - 4/11/80); fare increase on June 28, 1980 ($0.50 to $0.60)",2,1009332713.0,640562587.0,1649895300.0,,,3520392.0,2145507.0,5665899.0
1981,"Fare increase on July 3, 1981 ($0.60 to $0.75)",2,1011345460.0,598474721.0,1609820181.0,,,3448742.0,1951262.0,5400004.0
1982,,2,989091943.0,584588716.0,1573680659.0,,,3383988.0,1903626.0,5287614.0
1983,,2,1005343639.0,601873704.0,1607217343.0,,,3441371.0,1961713.0,5403084.0
1984,"Fare increase on January 2, 1984 ($0.75 to $0.90)",2,997025422.0,565141765.0,1562167187.0,,,3397966.0,1838905.0,5236871.0
1985,,2,1010210607.0,591964248.0,1602174855.0,,,3443313.0,1929262.0,5372575.0
1986,"Fare increase on January 1, 1986 ($0.90 to $1.00)",2,1030385208.0,576653201.0,1607038409.0,,,3492789.0,1879518.0,5372307.0
1987,,2,1058005483.0,572174551.0,1630180034.0,,,3585849.0,1864747.0,5450596.0
1988,,2,1074200253.0,574985714.0,1649185967.0,,,3631736.0,1869638.0,5501374.0
1989,,2,1073179880.0,567237443.0,1640417323.0,,,3641039.0,1848666.0,5489705.0
1990,"Fare increase on January 1, 1990 ($1.00 to $1.15)",2,1028305701.0,541634494.0,1569940195.0,,,3488147.0,1759548.0,5247695.0
1991,,2,995227534.0,528804550.0,1524032084.0,,,3373521.0,1716746.0,5090267.0
1992,"Fare increase on January 1, 1992 ($1.15 to $1.25)",2,996701756.0,512016594.0,1508718349.0,,,3360500.0,1666019.0,5026519.0
1993,,2,1029765350.0,510101130.0,1539866481.0,,,3464905.0,1668281.0,5133186.0
1994,,2,1080757098.0,515879284.0,1596636383.0,,,3612622.0,1675874.0,5288496.0
1995,"Fare increase on November 12, 1995 ($1.25 to $1.50)",2,1093029231.0,511042737.0,1604071968.0,,,3656180.0,1668826.0,5325006.0
1996,,2,1110025587.0,480048945.0,1590074532.0,,,3684369.0,1574067.0,5258436.0
1997,"Free intermodal transfers began on July 4, 1997",2,1129514464.0,529856242.0,1659370705.0,,,3752073.0,1729499.0,5481572.0
1998,"Bonus MetroCard began in January 1, 1998; 7-day & 30-day passes began on July 4, 1998",2,1199419350.0,607592605.0,1807011955.0,,,3962559.0,1979715.0,5942274.0
1999,,2,1283081633.0,659343560.0,1942425193.0,,,4226611.0,2141778.0,6368389.0
2000,,2,1381078913.0,691821938.0,2072900850.0,,,4522215.0,2239282.0,6761497.0
2001,"WTC attack on September 11, 2001",2,1405300386.0,732445189.0,2137745576.0,,,4579226.0,2355090.0,6934316.0
2002,,2,1413177943.0,754717673.0,2167895616.0,,,4590571.0,2423717.0,7014288.0
2003,"Fare increase on May 4, 2003 ($1.50 to $2.00)",2,1384068943.0,727607228.0,2111676171.0,,,4511849.0,2338751.0,6850600.0
2004,,2,1426040136.0,740586160.0,2166626296.0,,,4612006.0,2361299.0,6973305.0
2005,"Transit strike (12/20/05 - 12/22/05); Fare increase on February 27, 2005 (express bus fare and passes only; no change in base local fare)",2,1449109242.0,736493445.0,2185602687.0,,,4737093.0,2374777.0,7111870.0
2006,,2,1498915984.0,741419747.0,2240335731.0,,,4865769.0,2380124.0,7245893.0
2007,,2,1562515065.0,738039531.0,2300554596.0,,,5042263.0,2356301.0,7398564.0
2008,"Fare increase on March 2, 2008 (bonus and passes only; no change in base fare)",2,1623881369.0,746977406.0,2370858775.0,,,5225675.0,2377320.0,7602995.0
2009,"Fare increase on June 28, 2009; base fare ($2.00 to $2.25), bonus threshold & passes",2,1579866600.0,726471593.0,2306338192.0,,,5086833.0,2316691.0,7403523.0
2010,,2,1604198017.0,696923393.0,2301121410.0,,,5156913.0,2229257.0,7386170.0
2011,,2,1640434672.0,665314040.0,2305748713.0,,,5284295.0,2133773.0,7418068.0
