label,1934,1935,1936,1937,Increase or (D) Decrease 1937 over 1936 - Number,Increase or (D) Decrease 1937 over 1936 - Per Cent,_page
Rapid Transit Lines - I. R. T. — Subway Division,810296328,800719169.0,814217041.0,799647996.0,,,1
Rapid Transit Lines - I. R. T. — Elevated Division,220600747,214967958.0,217403315.0,211325828.0,,,1
"Total, I. R. T. Co.",1030897075,1015717127.0,1031620356.0,1010973824.0,,,1
New York Rapid Transit (B.-M. T.),606434205,598231061.0,608904130.0,590488471.0,,,1
"Total, I. R. T. and N. Y. R. T.",1637331280,1613948188.0,1640524486.0,1601462295.0,,,1
City of New York — Independent System,161658163,202975574.0,236065648.0,289051019.0,52985371.0,22.45,1
"Total, Rapid Transit Lines",1798989443,1816923762.0,1876590134.0,1890513314.0,13923180.0,0.74,1
Street Surface Lines - Manhattan,183238890,177837185.0,133197796.0,69348698.0,,,1
Street Surface Lines - The Bronx,123559563,123154368.0,126115839.0,126536044.0,420205.0,0.33,1
Street Surface Lines - Brooklyn,351073830,337636740.0,339500111.0,312425282.0,,,1
Street Surface Lines - Queens (excl. B. & Q. T.),33441091,28029957.0,29039759.0,25851895.0,,,1
Street Surface Lines - Richmond,2732768,,,,,,1
"Total, Street Surface Lines",694046142,666658250.0,627853505.0,564161919.0,,,1
"Total, Rapid Transit and Street Surface",2493035585,2483582012.0,2504443639.0,2454675233.0,,,1
Hudson & Manhattan R. R. Co.,76311146,75860951.0,76994009.0,78728748.0,1734739.0,2.25,1
Bus Lines (a) - Manhattan,94587458,107746489.0,186371267.0,299590055.0,113218788.0,60.75,1
Bus Lines (a) - Queens (incl. Nassau County),92859973,109624033.0,123303079.0,130469225.0,7166146.0,5.81,1
Bus Lines (a) - Brooklyn,63396164,63432347.0,68718488.0,73784079.0,5065591.0,7.37,1
Bus Lines (a) - The Bronx,39155000,40408731.0,45301605.0,48666778.0,3365173.0,7.43,1
Bus Lines (a) - Richmond,23912981,29052887.0,32938394.0,35085370.0,2146986.0,6.52,1
"Total, Bus Lines",313911576,350264487.0,456632823.0,587595507.0,130962684.0,28.68,1
Grand Total,2883258307,2909707450.0,3038070471.0,3120999488.0,82929017.0,2.73,1
Rides per Capita (excl. Hudson & Manhattan R. R. Co.),377,374.0,384.0,388.0,4.0,1.04,1
