,1921,1922,1923,1924,1925,1926,1927,1928,1929,Year Ended June 30,STATIONS,1920,Station/Line,Borough,Station,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Line,Category,_page,_page_desc
RAPID TRANSIT LINES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
Interborough Rapid Transit Co.: Subway Division,586098633,630385780,644075474,676650431,714933187,736820672,784280073,814625506,807603467,932446803,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
Elevated Division,369034477,374203051,348517216,348524700,359410056,352723553,346204574,359010660,351258534,348669124,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
"Total, I. R. T. Co.",955133110,1013678831,903402800,1025175131,1074343243,1089544225,1130484647,1173646256,1348952001,1281015927,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
New York Rapid Transit Corp.,376782635,404970640,444747229,480900870,537194829,891256029,621251881,656543693,669852744,690829332,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
"Total, Rapid Transit",1331015745,1418649471,1438239919,1506076001,1611538072,1480800254,1751736528,1830189949,1018804745,1971845159,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
STREET SURFACE LINES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
Manhattan,340772761,384128024,388357787,383209500,376667033,354306534,335665087,394207070,306500100,392785568,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
Bronx,94141991,107675507,114676829,119140813,124874810,128178112,133353069,144610327,153143745,155342370,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
Brooklyn,432936227,418106603,472538028,490128692,499768634,500639766,495078144,496806822,496637959,490422154,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
Queens (excl. B.-M. T.),49562574,51944034,58826451,59846701,58976131,58140148,56968144,50949549,51691870,52886161,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
Richmond,15007235,15797894,18667126,19408170,19740392,19290455,16838627,17133968,10335834,9136035,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
"Total, Street Surface",941420788,977652062,1052068801,1071736876,1081827000,1060654015,1037903071,1033207736,1020399607,1000571857,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
BUS LINES (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
"Fifth Avenue Coach Co., Surface Transp. Corp. of N.Y.",42552700,51001385,52840135,85074110,57136402,67700517,60428753,70405100,67283025,61672950,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
City Island Motor Bus Co.,533348,721395,462058,,,,,,7830671,36084658,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
"Eastern Parkway, Brownsville & East New York Transit",,,,,,,7146405,9041785,9805171,10714317,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
"Relief Assoc., Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
"Nassau Bus Lines, Inc.",,,Est.900000,891849,1012001,,1369632,1470900,1345879,146781,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
New Dorp Beach Bus Service,,,,,,,,304511,331771,366702,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
Tompkins Bus Corp.,,,Figures not available for years prior to 1929,,,,,,,14466630,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
"Total, Bus (a)",43086057,51812760,53302193,55874110,58028341,68713208,77941980,82031485,86086417,125692961,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
HUDSON & MANHATTAN R.R. CO.,92250836,95607645,99104889,103300911,107213936,107918242,108826762,112918329,112487043,111834120,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
GRAND TOTAL (a),2408673426,2543721938,2643015892,2738077808,2858308249,2018085710,2976407291,3057637460,3137477812,3200944097,,,,,,,,,,,,,,,,,,2,"Statement showing the number of fare passengers carried, distributed by mode of transportation for the fiscal years ended June 30, 1920 to 1929"
,44722559,55556868,88258660,59436811,88818075,89073888,87752888,41098796,48939808,,BKLYN STAS (see Contract 3),49605428,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,19929720,15845431,15620943,16703450,16952648,17011631,18502021,17971910,18706390,,Atlantic Avenue,25630457,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,8750388,8222544,8524900,9004000,8744413,8786145,8223691,8763019,9500678,,Nevins Street,9174698,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,6057339,5335862,5225366,5225914,4995225,5109680,5123148,5515321,5285282,,Hoyt-Duffield,6326061,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,9945100,9926375,8487633,8503427,,8076532,7610428,8848690,9384352,,Borough Hall (a),9885661,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,180645490,117599888,181059988,183925230,184876997,188449835,187606663,198480287,148510295,,"MANHATTAN EAST, SO. FT. TO GRAND CENT.",183668061,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,1732200,1534300,1052255,479484,439855,517753,444299,548426,825197,,South Ferry,1610213,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,6981700,8999300,8993228,8817449,5755764,5809462,8514946,6849730,7181963,,Bowling Green,7667903,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,9790600,9995600,9907177,8880419,9919507,9443476,9406073,10790316,11906045,,Wall Street,10152804,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,14803100,13530045,13663465,14010247,14157961,14688619,14584221,15607293,16304475,,Fulton Street,15324684,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,358200,364240,395277,372280,362069,400809,389014,439826,462143,,City Hall,354741,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,15238000,14984289,15162584,15673611,15714454,16046398,15928952,16726080,15960928,,Brooklyn Bridge,14964655,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,1748370,1642361,1679096,1707350,1728876,1781195,1798601,1909209,1879316,,Worth Street,1847993,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,4110620,4012100,4202454,4354670,4046940,4480761,4419427,4747875,4905765,,Canal Street,3921404,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,4675900,4485878,4567932,4498381,4341716,4848707,4166301,4386178,4301243,,Spring Street,4639284,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,4806900,4518883,4585800,4694181,4737465,5101466,5001499,5523560,5198395,,Bleecker Street,4616294,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,6534100,6246811,6045355,6196851,6307532,6504908,6362936,6638774,6498388,,Astor Place,5695176,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,15862000,16966622,18430910,19636487,20508136,21823850,22617805,24714149,26377611,,14th Street,15223505,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,3032700,3062600,8034827,8484467,2954148,2913578,3148351,3103429,2609381,,18th Street,3172814,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,3558200,3509143,8994484,9103136,8996446,8907348,8335930,8676275,8545397,,23d Street,3532451,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,6223200,6515441,7007353,7135797,7006711,6853537,6304768,7035773,7447001,,28th Street,6322872,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,6341300,6181448,6510498,6722034,6548747,6946579,7401872,8491299,8963542,,33d Street,6085786,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,10643400,10318862,10966372,11645435,11852328,12625390,12821936,13889191,13870114,,Grand Central (a),11448254,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,63582688,84073641,87476447,71808104,78668086,77689419,85400804,91868846,91071812,,"MANHATTAN, WEST, TIMES SQ. TO 96TH ST.",61316802,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,15048100,15337268,15930762,16989225,17199885,18821623,20427045,21857800,21683830,,Times Square (a),14427377,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,8361200,8421140,9006800,9609140,9902832,11512037,12839957,14972058,14987394,,50th Street,8023553,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,7963600,8021767,8583394,8042724,8847047,8118059,9244493,9819924,4901245,,Columbus Circle,7928261,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,4839400,4562358,4654494,4672818,4595164,4677289,4743430,4965566,4901245,,66th Street,4635261,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,7634700,7999500,8800476,9501141,9805918,10424272,11239575,12336072,12440741,,72d Street,7093332,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,4097200,4002832,5194453,5237794,4335625,5096405,6313756,6837013,7174291,,79th Street,3992286,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,4059200,4031504,5025263,5410534,5614940,5894539,6237249,6917711,6994433,,86th Street,3889421,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,2342100,2277074,2447300,2667130,2822818,2977490,3130917,3512676,3552712,,91st Street,2395871,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,8354600,,7839505,8825547,9187557,9205708,9008538,10144383,10710597,,96th Street,8148340,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,88719197,81625467,81817870,84036449,83658854,87695688,90172815,64615158,64609803,,"MANHATTAN, UPPER B'WAY TO 225TH ST.",88818140,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,4422400,4382700,4407059,4642631,4577641,4775811,5032594,5123372,5006843,,103d Street,4297202,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,3432472,3252473,3539768,3766243,3503408,4657991,4863024,5123372,5006843,,Cathedral Parkway (110th St.),3527188,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,4305600,4211300,4191272,4321624,4236852,4394987,4485800,4808086,4805735,,Col. Univ. (116th St.),4240322,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,5956600,5981700,5145771,5391898,4976146,5197031,5387017,5741098,5858605,,125th Street,5843390,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
,4148200,3801100,4202044,5418249,5222793,5305083,5388172,5656770,5513031,,City College (137th St.),4100896,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 1 and 2 Stations (Manhattan and Brooklyn)"
