Line Type,Number of Fare Passengers Carried During Fiscal Year 1939,Increase or (D) Decrease in Traffic During 1939 - Number of Passengers,Increase or (D) Decrease in Traffic During 1939 - Per Cent,Month,Year,Station,Fiscal Year 1939,Fiscal Year 1938,Increase or (D) Decrease Number,Increase or (D) Decrease Per Cent,STATIONS,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,Line,Borough,LINE,BOROUGH,_page,_page_desc
Rapid Transit Lines,1852944457,-11270671,-0.6,,,,,,,,,,,,,,,,,,,,,,,1,"Fiscal year ended June 30, 1939 - Number of fare passengers carried by transit line type and increase/decrease vs prior year"
Hudson Tubes,65203882,-9206886,-12.44,,,,,,,,,,,,,,,,,,,,,,,1,"Fiscal year ended June 30, 1939 - Number of fare passengers carried by transit line type and increase/decrease vs prior year"
Street Surface Railway Lines,540361037,762010,0.14,,,,,,,,,,,,,,,,,,,,,,,1,"Fiscal year ended June 30, 1939 - Number of fare passengers carried by transit line type and increase/decrease vs prior year"
Bus Lines,657707203,34090708,0.47,,,,,,,,,,,,,,,,,,,,,,,1,"Fiscal year ended June 30, 1939 - Number of fare passengers carried by transit line type and increase/decrease vs prior year"
Grand Total,3116216059,14315761,0.46,,,,,,,,,,,,,,,,,,,,,,,1,"Fiscal year ended June 30, 1939 - Number of fare passengers carried by transit line type and increase/decrease vs prior year"
,,-11178887,-4.6,July,1938,,,,,,,,,,,,,,,,,,,,,1,"Monthly distribution of increase of 14,300,000 passengers in traffic during fiscal year 1939 vs 1938"
,,-1049130,-0.44,August,1938,,,,,,,,,,,,,,,,,,,,,1,"Monthly distribution of increase of 14,300,000 passengers in traffic during fiscal year 1939 vs 1938"
,,-5533471,-2.21,September,1938,,,,,,,,,,,,,,,,,,,,,1,"Monthly distribution of increase of 14,300,000 passengers in traffic during fiscal year 1939 vs 1938"
,,-5878600,-3.17,October,1938,,,,,,,,,,,,,,,,,,,,,1,"Monthly distribution of increase of 14,300,000 passengers in traffic during fiscal year 1939 vs 1938"
,,1046753,0.46,November,1938,,,,,,,,,,,,,,,,,,,,,1,"Monthly distribution of increase of 14,300,000 passengers in traffic during fiscal year 1939 vs 1938"
,,1872174,0.68,December,1938,,,,,,,,,,,,,,,,,,,,,1,"Monthly distribution of increase of 14,300,000 passengers in traffic during fiscal year 1939 vs 1938"
,,-629719,-0.24,January,1939,,,,,,,,,,,,,,,,,,,,,1,"Monthly distribution of increase of 14,300,000 passengers in traffic during fiscal year 1939 vs 1938"
,,1145880,0.47,February,1939,,,,,,,,,,,,,,,,,,,,,1,"Monthly distribution of increase of 14,300,000 passengers in traffic during fiscal year 1939 vs 1938"
,,2843123,1.95,March,1939,,,,,,,,,,,,,,,,,,,,,1,"Monthly distribution of increase of 14,300,000 passengers in traffic during fiscal year 1939 vs 1938"
,,-957180,-0.35,April,1939,,,,,,,,,,,,,,,,,,,,,1,"Monthly distribution of increase of 14,300,000 passengers in traffic during fiscal year 1939 vs 1938"
,,16477891,6.25,May,1939,,,,,,,,,,,,,,,,,,,,,1,"Monthly distribution of increase of 14,300,000 passengers in traffic during fiscal year 1939 vs 1938"
,,15689247,5.87,June,1939,,,,,,,,,,,,,,,,,,,,,1,"Monthly distribution of increase of 14,300,000 passengers in traffic during fiscal year 1939 vs 1938"
,,14315761,0.46,Total,,,,,,,,,,,,,,,,,,,,,,1,"Monthly distribution of increase of 14,300,000 passengers in traffic during fiscal year 1939 vs 1938"
