Date,Fare,Notes,Segment,Station,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,_page,_page_desc
through 6/30/48,$0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
7/1/48,$0.10,$0.02 transfer to bus introduced.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
7/1/50,$0.10,Transfer to bus raised to $0.05.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
7/1/52,$0.10,Reduced-rate transfer to bus eliminated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
7/25/53,$0.15,Subway tokens introduced.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
7/5/66,$0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
1/4/70,$0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
1/5/72,$0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
9/1/75,$0.50,Double-fare for Rockaways line discontinued.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
6/28/80,$0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
7/3/81,$0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
1/2/84,$0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
1/1/86,$1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
1/1/90,$1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
1/1/92,$1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
1/6/94,$1.25,MetroCard introduced.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
11/12/95,$1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"New York City Subway Fare Chronology 1940 to 1995 - listing fare dates, amounts, and notable changes"
,,,8 Ave.,207 St.,3735056,3949594,4290753,4185166,3903350,3982607,4569914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,Dyckman St./200 St.,3500748,3610061,3742049,3740972,3640350,3592162,3718963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,190 St.,1549002,1706454,1872581,1965387,1914299,1863990,1931006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,181 St.,4904537,5319228,5691443,5829379,5717819,5679322,5914906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,175 St.,7807128,8180252,8845687,9311701,9187416,,8933699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,168 St.,3689361,3432119,3420061,3465480,3346072,3563833,3880994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,163 St.,3239868,3182251,3146698,3253449,3453528,3584913,3718669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,155 St.,7385129,8650994,9105215,9969791,10310134,10797744,11747041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,145 St.,3973666,4724003,4885011,5416320,5570747,5637299,5907994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,135 St.,9584909,10813039,11443134,12586892,12821947,13756440,14889922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,125 St.,3847922,4434505,4470832,4889276,4957948,5205741,5737224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,116 St.,2989018,3310845,3211744,3295135,3305890,3503160,3846725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,Cathedral Pkwy.,2051962,2333138,2319362,2218017,2172097,2272481,2495195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,103 St.,3445760,3884717,3873627,3885465,3830548,4013667,4331750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,96 St.,3914224,4469993,4583922,4572894,4536719,4714513,3976789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,86 St.,3036548,3503806,3553536,3578640,3615186,3750570,3721383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,81 St.,3050766,3635152,3574977,3535671,3381050,3494360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,72 St.,,,,,,,94272205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
,,,8 Ave.,Segment Total,71705604,79140151,82030629,85703635,85862853,88455572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Annual Registrations by Station 1940-1946, left side of page"
