Line/System,1932,1933,1934,1935,Increase or (D) Decrease 1935 over 1934 - Number,Increase or (D) Decrease 1935 over 1934 - Per Cent,_page,_page_desc
Rapid Transit Lines - I. R. T. - Subway Division,919459670,836505203,810296328,800749169,D 9547159,D 1.18,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
Rapid Transit Lines - I. R. T. - Elevated Division,293691687,247610919,220600747,214967958,D 5632789,D 2.55,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
"Total, I. R. T. Co.",1213151357,1084116122,1030897075,1015717127,D 15179948,D 1.47,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
New York Rapid Transit (B.M.T.),653824410,612995667,606434205,598231061,D 8203144,D 1.35,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
"Total, I. R. T. and N. Y. R. T.",1866975767,1697111789,1637331280,1613948188,D 23383092,D 1.43,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
City of New York - Independent System (from 9/10/32),,59081550,161658163,202975574,41317411,25.56,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
"Total, Rapid Transit",1866975767,1756193339,1798989443,1816923762,17934319,1.0,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
Street Surface Lines - Manhattan,227888500,193747343,183238890,177837185,D 5401705,D 2.95,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
Street Surface Lines - The Bronx,139315124,125828290,123559563,123154368,D 405195,D 0.33,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
Street Surface Lines - Brooklyn (incl. Williamsburgh Bridge Line),411623974,364491594,351073830,337636740,D 13437090,D 3.83,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
Street Surface Lines - Queens (excl. B. & Q. T.),47646961,42169176,33441091,28029957,D 5411134,D 16.18,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
Street Surface Lines - Richmond,6624134,5639191,2732768,,D 2732768,D 100.00,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
"Total, Street Surface",833098693,731875594,694046142,666658250,D 27387892,D 3.95,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
"Total, Rapid Transit and Street Surface",2700074460,2488068933,2493035585,2483582012,D 9453573,D 0.38,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
Hudson & Manhattan R. R. Co.,90320135,78051350,76311146,75860951,D 450195,D 0.59,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
"Bus Lines (Cos. with Franchises at June 30, 1935) - Fifth Avenue Coach Company",51042562,40035070,38788131,38575345,D 212786,D 0.55,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
"Bus Lines - Madison Avenue Coach Company, Inc. (from 2/1/35)",,,,,,,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
East Side Omnibus Corporation (from 6/26/33),,230114,19870846,20608348,737502,3.71,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
Comprehensive Omnibus Corporation (from 2/1/35),,,,4985417,4985417,,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
"Avenue B & East Broadway Transit Co., Inc.",,327110,,,,,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
Surface Transportation Corp. of New York,42890689,39644386,37480475,,,13.03,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
Brooklyn Bus Corp.,50931289,59537602,61396164,61432397,35083,0.0,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
"Nassau Bus Line, Inc.",1451338,1323503,1298909,1303172,6263,0.48,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
"Jamaica Buses, Inc. (from 11/12/33)",,,7950961,12351615,4400654,55.35,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
"North Shore Bus Co., Inc.",,,13552890,14438916,886026,6.54,1,"Fare Passengers table from State of New York Transit Commission report, showing passenger counts for Fiscal Year Ended June 30 across years 1932, 1933, 1934, 1935, and increase/decrease versus 1934"
