station_id,station_name,stop_order,route,stop_name,borough,latitude,longitude,ada,ada_notes,stations_before,stations_after,direction
142,SOUTH FERRY TERMINAL,1,1,Whitehall St-South Ferry,M,40.7025775,-74.013329,2,R W not accessible; 1 accessible,,RECTOR STREET-7AV,N
257,NEW LOTS AVENUE,2,1,New Lots Av,Bk,40.666235,-73.884079,0,,,VAN SICLEN AVENUE,S
139,RECTOR STREET-7AV,3,1,Rector St,M,40.707513,-74.013783,0,,SOUTH FERRY TERMINAL,CORTLANDT STREET-7AV,N
256,VAN SICLEN AVENUE,4,1,Van Siclen Av,Bk,40.665449,-73.889395,0,,NEW LOTS AVENUE,PENNSYLVANIA AVENUE,S
138,CORTLANDT STREET-7AV,5,1,WTC Cortlandt,M,40.711835,-74.012188,1,,RECTOR STREET-7AV,CHAMBERS STREET-7AV,N
255,PENNSYLVANIA AVENUE,6,1,Pennsylvania Av,Bk,40.664635,-73.894895,0,,VAN SICLEN AVENUE,JUNIUS STREET,S
254,JUNIUS STREET,7,1,Junius St,Bk,40.663515,-73.902447,0,,PENNSYLVANIA AVENUE,ROCKAWAY AVENUE,S
253,ROCKAWAY AVENUE,8,1,Rockaway Av,Bk,40.662549,-73.908946,0,,JUNIUS STREET,SARATOGA AVENUE,S
252,SARATOGA AVENUE,9,1,Saratoga Av,Bk,40.661453,-73.916327,0,,ROCKAWAY AVENUE,SUTTER AVENUE,S
251,SUTTER AVENUE,10,1,Sutter Av-Rutland Rd,Bk,40.664717,-73.92261,0,,SARATOGA AVENUE,UTICA AVENUE,S
250,UTICA AVENUE,11,1,Crown Hts-Utica Av,Bk,40.668897,-73.932942,1,,SUTTER AVENUE,KINGSTON AVENUE,S
249,KINGSTON AVENUE,12,1,Kingston Av,Bk,40.669399,-73.942161,0,,UTICA AVENUE,NOSTRAND AVENUE,N
248,NOSTRAND AVENUE,13,1,Nostrand Av,Bk,40.669847,-73.950466,0,,KINGSTON AVENUE,FRANKLIN  AVENUE,N
239,FRANKLIN  AVENUE,14,1,Franklin Av-Medgar Evers College/Botanic Garden,Bk,40.6705125,-73.958688,0,,NOSTRAND AVENUE,EASTERN PARKWAY,N
238,EASTERN PARKWAY,15,1,Eastern Pkwy-Brooklyn Museum,Bk,40.671987,-73.964375,1,,FRANKLIN  AVENUE,GRAND ARMY PLAZA,N
237,GRAND ARMY PLAZA,16,1,Grand Army Plaza,Bk,40.675235,-73.971046,0,,EASTERN PARKWAY,BERGEN STREET,N
236,BERGEN STREET,17,1,Bergen St,Bk,40.680829,-73.975098,0,,GRAND ARMY PLAZA,ATLANTIC AVENUE,N
235,ATLANTIC AVENUE,18,1,Atlantic Av-Barclays Ctr,Bk,40.68416167,-73.97778867,1,,BERGEN STREET,NEVINS STREET,S
234,NEVINS STREET,19,1,Nevins St,Bk,40.688246,-73.980492,0,,ATLANTIC AVENUE,HOYT STREET,S
233,HOYT STREET,20,1,Hoyt St,Bk,40.690545,-73.985065,2,Outbound only,NEVINS STREET,BOROUGH HALL,N
232,BOROUGH HALL,21,1,Borough Hall/Court St,Bk,40.693241,-73.990642,2,R not accessible; 2 3 accessible; 4 5 Manhattan-bound only,HOYT STREET,CLARK STREET,N
231,CLARK STREET,22,1,Clark St,Bk,40.697466,-73.993086,0,,BOROUGH HALL,WALL STREET-WILLIAM,N
230,WALL STREET-WILLIAM,23,1,Wall St,M,40.706821,-74.0091,0,,CLARK STREET,FULTON STREET,N
229,FULTON STREET,24,1,Fulton St,M,40.71008875,-74.00783825,1,,WALL STREET-WILLIAM,PARK PLACE,N
228,PARK PLACE,25,1,Chambers St/WTC/Park Place/Cortlandt St,M,40.712603,-74.0095515,2,R W accessible; A C not accessible; E accessible; 2 3 not accessible,FULTON STREET,CHAMBERS STREET-7AV,N
137,CHAMBERS STREET-7AV,26,1,Chambers St,M,40.715478,-74.009266,1,,CORTLANDT STREET-7AV; PARK PLACE,FRANKLIN STREET-7AV,N
136,FRANKLIN STREET-7AV,27,1,Franklin St,M,40.719318,-74.006886,0,,CHAMBERS STREET-7AV,CANAL STREET-7AV,N
135,CANAL STREET-7AV,28,1,Canal St,M,40.722854,-74.006277,0,,FRANKLIN STREET-7AV,HOUSTON STREET-7AV,N
134,HOUSTON STREET-7AV,29,1,Houston St,M,40.728251,-74.005367,0,,CANAL STREET-7AV,CHRISTOPHER STREET-SHERIDAN SQUARE,N
133,CHRISTOPHER STREET-SHERIDAN SQUARE,30,1,Christopher St-Stonewall,M,40.733422,-74.002906,0,,HOUSTON STREET-7AV,14TH STREET-7AV,N
132,14TH STREET-7AV,31,1,14 St/6 Av,M,40.73779633,-73.997732,1,,CHRISTOPHER STREET-SHERIDAN SQUARE,18TH STREET-7AV,N
131,18TH STREET-7AV,32,1,18 St,M,40.74104,-73.997871,0,,14TH STREET-7AV,23RD STREET-7AV,S
130,23RD STREET-7AV,33,1,23 St,M,40.744081,-73.995657,0,,18TH STREET-7AV,28TH STREET-7AV,S
129,28TH STREET-7AV,34,1,28 St,M,40.747215,-73.993365,0,,23RD STREET-7AV,34TH STREET-PENN STATION,S
128,34TH STREET-PENN STATION,35,1,34 St-Penn Station,M,40.750373,-73.991057,1,,28TH STREET-7AV,42ND STREET-TIMES SQUARE,N
