label,borough,station_id,modern_station_name,match_score
*123d Street,Manhattan,D22,GRAND STREET,0.7364
*42d Street,Manhattan,D16,42ND STREET-BRYANT PARK,0.8500
1 Ave./14 St.,Manhattan,L06,1ST AVENUE-14ST,1.0086
1 St.,,233,HOYT STREET,0.7368
1 St./2 Av. El (Closed 6/13/42),Manhattan,-1,CLOSED,1.0000
102nd Street,Brooklyn,L28,EAST 105TH STREET,0.8200
103 St.,Manhattan,706,103RD STREET,1.1500
103 St.,Queens,706,103RD STREET,1.2500
103d Street,Manhattan,706,103RD STREET,1.1500
103rd Street,Manhattan,706,103RD STREET,1.1500
"103rd Street (from Sept. 10, 1932)",Manhattan,706,103RD STREET,1.1500
103th Street (Alburtis Avenue),Queens,706,103RD STREET,1.2500
104 St.,,J14,104TH STREET,1.1500
104 St.,Brooklyn,J14,104TH STREET,1.1500
104 St.,Queens,J14,104TH STREET,1.2500
104-102 Sts.,Queens,J14,104TH STREET,1.0500
104th St. (Alburtis Ave.),Queens,J14,104TH STREET,1.2500
104th Street,Manhattan,J14,104TH STREET,1.1500
105 St.,,L28,EAST 105TH STREET,0.8000
105 St.,Manhattan,L28,EAST 105TH STREET,0.8000
105th Street,Queens,H14,BEACH 105TH STREET,0.8692
106 St.,Manhattan,D22,GRAND STREET,0.7364
106th Street,Manhattan,D22,GRAND STREET,0.7364
110 St.,,227,110TH STREET-LENOX,0.9192
110 St.,Brooklyn,227,110TH STREET-LENOX,0.9192
110 St.,Manhattan,227,110TH STREET-LENOX,1.0192
110 St./Central Park N.,Manhattan,A17,110TH STREET-CATHEDRAL PKWY,1.0425
110th Street,Manhattan,227,110TH STREET-LENOX,1.0192
"110th Street (from Sept. 10, 1932)",Manhattan,227,110TH STREET-LENOX,1.0192
111 St.,,J13,111TH STREET-JAMAICA,0.8643
111 St.,Manhattan,J13,111TH STREET-JAMAICA,0.8643
111 St.,Queens,J13,111TH STREET-JAMAICA,0.9643
111th Street,Brooklyn,J13,111TH STREET-JAMAICA,0.8643
111th Street,Queens,J13,111TH STREET-JAMAICA,0.9643
111th Street (from 10/13/22),Queens,J13,111TH STREET-JAMAICA,0.9643
111th Street (from 4/8/23),Queens,J13,111TH STREET-JAMAICA,0.9643
116 St.,,A16,116TH STREET-8AV,0.9833
116 St.,Brooklyn,A16,116TH STREET-8AV,0.9833
116 St.,Manhattan,A16,116TH STREET-8AV,1.0833
116 St./Columbia Univ.,Manhattan,A16,116TH STREET-8AV,0.8409
116th Street,Manhattan,A16,116TH STREET-8AV,1.0833
116th Street,Queens,A16,116TH STREET-8AV,0.9833
"116th Street (from Sept. 10, 1932)",Manhattan,A16,116TH STREET-8AV,1.0833
117 St.,,233,HOYT STREET,0.6667
117 St.,Manhattan,D22,GRAND STREET,0.7364
117th Street,Queens,H06,BEACH 67TH STREET,0.7400
11th Street - Courthouse Square,Manhattan,A32,WEST 4TH STREET-WASHINGTON SQUARE (UPPER),0.6517
120th Street,Manhattan,D22,GRAND STREET,0.7364
121 St.,,J12,121ST STREET,1.1500
121 St.,Manhattan,J12,121ST STREET,1.1500
121 St.,Queens,J12,121ST STREET,1.2500
121st Street,Brooklyn,J12,121ST STREET,1.1500
121st Street,Queens,J12,121ST STREET,1.2500
123d Street,Manhattan,D22,GRAND STREET,0.7364
125 St.,,A15,125TH STREET-8AV,0.9833
125 St.,Brooklyn,A15,125TH STREET-8AV,0.9833
125 St.,Manhattan,A15,125TH STREET-8AV,1.0833
125th Street,Manhattan,A15,125TH STREET-8AV,1.0833
125th Street,Queens,A15,125TH STREET-8AV,0.9833
"125th Street (from Sept. 10, 1932)",Manhattan,A15,125TH STREET-8AV,1.0833
129 St. (Closed 12/22/50),Manhattan,-1,CLOSED,1.0000
129th Street,Manhattan,D22,GRAND STREET,0.7364
13 Ave.,Brooklyn,D37,AVENUE U,0.8059
130 St.,,213,EAST 180TH STREET,0.7200
130 St.,Brooklyn,L28,EAST 105TH STREET,0.8200
130th Street,Manhattan,D22,GRAND STREET,0.7364
133 St./3 Av. El (Closed 5/11/55),Bronx,-1,CLOSED,1.0000
133 St/3 Av. El (Closed 5/11/55),Bronx,-1,CLOSED,1.0000
133d Street,Bronx,205,EAST 233RD STREET,0.8200
133th Street—3d Avenue,Bronx,609,ST. LAWRENCE AVENUE,0.7829
135 St.,,A14,135TH STREET-8AV,0.9833
135 St.,Brooklyn,A14,135TH STREET-8AV,0.9833
135 St.,Manhattan,A14,135TH STREET-8AV,1.0833
135th Street,Manhattan,A14,135TH STREET-8AV,1.0833
"135th Street (from Sept. 10, 1932)",Manhattan,A14,135TH STREET-8AV,1.0833
137 St.,Manhattan,115,137TH STREET-BWAY,0.9397
138 St./3 Av. El (Closed 5/11/55),Bronx,-1,CLOSED,1.0000
138 St./Grand Concourse,Bronx,416,138TH STREET-GRAND CONCOURSE,1.2500
138 St/3 Av. El (Closed 5/11/55),Bronx,-1,CLOSED,1.0000
138th Street,Bronx,619,138TH STREET-3AV,0.9397
"138th Street, Grand Concourse",Bronx,416,138TH STREET-GRAND CONCOURSE,1.2500
138th Street—3d Avenue,Bronx,619,138TH STREET-3AV,1.2500
138th St—Mott Haven,Bronx,619,138TH STREET-3AV,1.0500
13th Avenue,Brooklyn,D37,AVENUE U,0.8059
14 St./1 Av. El (Closed 5/11/55),Manhattan,-1,CLOSED,1.0000
14 St./2 Av. El (Closed 6/13/42),Manhattan,-1,CLOSED,1.0000
14 St./3 Av. El (Closed 5/11/55),Manhattan,-1,CLOSED,1.0000
14 St./6 Av. El (Closed 6/11/40),Manhattan,-1,CLOSED,1.0000
14 St./6-7 Aves. (IND opened 12/15/40),Manhattan,132,14TH STREET-7AV,1.1731
14 St./8 Ave.,Manhattan,132,14TH STREET-7AV,1.1944
140 St.,,213,EAST 180TH STREET,0.7200
140 St.,Brooklyn,L28,EAST 105TH STREET,0.8200
140th Street,Manhattan,D22,GRAND STREET,0.7364
143 St./3 Av. El (Closed 5/11/55),Bronx,-1,CLOSED,1.0000
143d Street,Bronx,616,143RD STREET,1.2500
145 St.,,D13,145TH STREET,1.1500
145 St.,Brooklyn,D13,145TH STREET,1.1500
145 St.,Manhattan,D13,145TH STREET,1.2500
